$#|$#401185 3
600000493$#|$#59836 384
600000499$#|$#60220 381
60000280$#|$#656 385
60000310$#|$#1041 389
60000330$#|$#1430 386
60000360$#|$#1816 386
600004950$#|$#10002 387
600004965$#|$#10389 385
600004989$#|$#60601 382
600005014$#|$#10774 387
60000510$#|$#2202 384
600005252$#|$#11161 424
600005293$#|$#11585 389
600006275$#|$#11974 397
600006287$#|$#12371 393
600006338$#|$#12764 386
600006375$#|$#13150 387
600006377$#|$#13537 386
600006390$#|$#13923 386
600006393$#|$#14309 395
600006395$#|$#14704 390
600006398$#|$#15094 410
600006399$#|$#15504 385
600006401$#|$#15889 386
600007141$#|$#16275 383
600007142$#|$#16658 421
600007143$#|$#17079 400
600007425$#|$#17479 388
60000910$#|$#2586 387
60000990$#|$#2973 382
60001280$#|$#3355 388
60001830$#|$#3743 387
60002870$#|$#4130 387
60003320$#|$#4517 385
60003360$#|$#4902 393
60003370$#|$#5295 384
60003870$#|$#5679 381
60004130$#|$#6060 386
60004460$#|$#6446 386
60004790$#|$#6832 387
60004940$#|$#7219 407
70000550$#|$#7626 379
accountnumber$#|$#0 656
